Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
16.0164,73.47281,XX,0.03944,0.0409,0.04024,0.02658,0.01795
15.92349,73.4099,XX,0.03954,0.03932,0.03353,0.02226,0.01446
16.02237,73.43632,XX,0.04507,0.04634,0.04379,0.02814,0.01795
16.02258,73.46547,XX,0.04197,0.04298,0.04266,0.02778,0.01834
15.97945,73.46243,XX,0.04066,0.0428,0.03938,0.02471,0.0151
16.03477,73.46369,XX,0.04158,0.04277,0.04385,0.02856,0.01982
16.03356,73.44605,XX,0.04398,0.04576,0.04677,0.02971,0.01926
16.00541,73.41515,XX,0.04462,0.04637,0.0426,0.02678,0.01739
16.02743,73.46123,XX,0.04177,0.0435,0.04513,0.02918,0.01828
16.0129,73.43919,XX,0.04283,0.04492,0.04403,0.02748,0.01672
15.88087,73.44022,XX,0.03592,0.03605,0.03037,0.02134,0.01382
16.02005,73.45344,XX,0.04225,0.0438,0.04623,0.02867,0.01757
15.93486,73.44457,XX,0.04184,0.04307,0.03985,0.02332,0.01338
16.01469,73.46188,XX,0.04245,0.0451,0.0482,0.02957,0.01775
16.01772,73.46775,XX,0.04117,0.04183,0.04283,0.0272,0.01744
15.92906,73.46758,XX,0.04142,0.04398,0.04185,0.02418,0.014
15.99981,73.46648,XX,0.04193,0.04443,0.04424,0.02689,0.01646
15.88925,73.47461,XX,0.03761,0.03781,0.03117,0.021,0.0131
15.88598,73.47212,XX,0.03797,0.03878,0.03186,0.02137,0.01331
16.00442,73.42833,XX,0.04424,0.0451,0.04012,0.02642,0.01741
15.94642,73.46998,XX,0.0387,0.04047,0.03663,0.02248,0.01361
16.00418,73.4331,XX,0.0442,0.04592,0.04301,0.02695,0.01721
16.01643,73.43973,XX,0.04363,0.04474,0.04316,0.02761,0.01682
16.00159,73.48721,XX,0.04018,0.04419,0.04879,0.02892,0.01957
16.00355,73.45776,XX,0.04513,0.0474,0.04998,0.02954,0.01623
15.89879,73.44344,XX,0.03886,0.0392,0.03526,0.02271,0.01356
15.97658,73.479,XX,0.03912,0.04096,0.03824,0.02438,0.01541
15.98793,73.47247,XX,0.03966,0.04162,0.03899,0.02455,0.01528
16.00645,73.44709,XX,0.04309,0.04486,0.04635,0.02842,0.01667
16.02939,73.46935,XX,0.0419,0.04271,0.04334,0.0282,0.01987
16.00613,73.44037,XX,0.0436,0.04395,0.0434,0.02745,0.01631
15.94626,73.48427,XX,0.04104,0.04274,0.0417,0.0243,0.01454
16.00511,73.41151,XX,0.045,0.04607,0.04143,0.02695,0.01764
16.00139,73.45918,XX,0.04452,0.04703,0.04933,0.02898,0.01644
15.97126,73.49277,XX,0.03848,0.04093,0.03899,0.02379,0.01659
16.03144,73.45251,XX,0.04213,0.04413,0.0459,0.02906,0.01818
16.01376,73.48292,XX,0.03938,0.04105,0.04188,0.02664,0.01885
16.02394,73.46574,XX,0.04254,0.04362,0.04206,0.02787,0.01864
15.9013,73.49133,XX,0.03842,0.03823,0.03374,0.02176,0.013
16.02991,73.46682,XX,0.04146,0.04202,0.0437,0.02881,0.01923
15.88753,73.5004,XX,0.03761,0.03756,0.03099,0.02117,0.01359
16.02393,73.4649,XX,0.04309,0.04395,0.04239,0.02823,0.01908
16.01893,73.4484,XX,0.04309,0.04465,0.04477,0.0282,0.01775
16.02862,73.43767,XX,0.04481,0.04694,0.04522,0.02831,0.01813
15.95779,73.42925,XX,0.04277,0.04413,0.04024,0.02458,0.01397
15.91662,73.47244,XX,0.04216,0.04398,0.04066,0.02402,0.01354
15.92614,73.43931,XX,0.04037,0.04277,0.03801,0.02276,0.014
15.93924,73.4137,XX,0.04107,0.04144,0.03577,0.02304,0.01438
16.00634,73.4698,XX,0.04337,0.04583,0.04781,0.02979,0.01772
16.00756,73.48773,XX,0.04177,0.04643,0.05093,0.02895,0.01987
15.97654,73.43527,XX,0.04293,0.04395,0.04283,0.02533,0.01503
16.03654,73.44658,XX,0.04398,0.04531,0.04531,0.02926,0.01839
16.00287,73.439,XX,0.04347,0.0448,0.04322,0.02725,0.01664
16.01767,73.42374,XX,0.04542,0.04761,0.04528,0.02817,0.01728
16.02758,73.44441,XX,0.04241,0.0441,0.04367,0.02798,0.01782
15.92828,73.43509,XX,0.04165,0.0428,0.03798,0.0229,0.0139
16.01764,73.45682,XX,0.04216,0.04459,0.04602,0.02934,0.01736
